20141	19
20142	25
20143	10
20144	4
20145	17
20146	27
20147	13
20148	6
20149	12
20151	10
20152	13
20153	11
20154	15
20155	17
20156	23
20157	22
20158	15
20159	11
201410	4
201411	5
201412	15
201413	9
201414	11
201415	14
201416	8
201417	8
201418	7
201419	11
201420	10
201421	20
201422	9
201423	17
201424	6
201425	7
201426	12
201427	22
201428	9
201429	22
201430	17
201510	16
201511	26
201512	10
201513	14
201514	21
201515	13
201516	25
201517	15
201518	18
201519	17
201520	22
201521	12
201522	23
201523	14
201524	6
201525	17
201526	23
201527	12
201528	15
201529	9
201530	15
